id	title	type	severity	category	kind	sweep_class	module	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	measurable_target	blocked_on	source_rows	dedupe_key_or_also_in	notes
G-stale-figures-01	README zero-findings badge states 23 while its ledger re-measure gives 41	Bug	high	false-evidence	defect	stale-figures	umbrella (vasic)	1	figure:README.md:3	The badge value is typed by hand into README.md:3; docs/claim-ledger.tsv row readme-zero-findings-badge re-measures it and reads FALSE. Nothing regenerates the badge from scripts/audit/zero_findings_sweep.sh, so the public quality badge under-states the open finding count.	Derive the badge value from the sweep output (a generator or the existing badge tooling reading class=TOTAL live=), never type it; re-run the ledger.	RED now: bash scripts/verify-claim-ledger.sh reports readme-zero-findings-badge FALSE (23 vs 41, re-measured 2026-09-26). GREEN: the same row TRUE on a fingerprinted tree, and stale-figures no longer emits figure:README.md:3; paired proof: edit the badge number in a disposable copy and the row flips to FALSE.	open			1	claim-ledger row readme-zero-findings-badge	Hand-verified this session: README.md:3 reads 23; the ledger command printed 41. The value moves with every sweep, so only a derived badge stays true.
G-stale-figures-02	Root carriers (CLAUDE.md and its three lockstep mirrors) record status/rc and count figures with no re-measure command	Task	medium	docs-drift	weak-spot	stale-figures	umbrella (vasic)	97	figure:CLAUDE.md:110 ; figure:CLAUDE.md:1607 ; figures:CLAUDE.md	The carriers narrate measured figures (PASS/DRIFT splits, rc/exit values, N of M, counts) as prose; only 7 docs/claim-ledger.tsv rows anchor CLAUDE.md, so every other figure can go stale with every gate green. Class meaning (rev-base-A ruling): unanchored recorded figures, staleness unmeasured. Mirrors AGENTS.md/QWEN.md/GEMINI.md are byte-identical from line 19 and deduped onto CLAUDE.md.	Per figure line, one of: (a) a docs/claim-ledger.tsv row with a re-measure command for figures stated as current; (b) the line-level historical marker (withdrawn/superseded/historical) for dated history; (c) replace the figure with the command that derives it. Edit the shared region once and recompose the four carriers (C5).	RED: stale-figures on the tree reports 96 figure:CLAUDE.md:* medium rows and the figures:CLAUDE.md aggregate (59 lines). GREEN: 0 such rows; verify-claim-ledger.sh rc 0 for every new row; verify-governance-cascade.sh C5 PASS. Known stale members to fix, not only anchor: CLAUDE.md:315 (says 14 declared, .gitmodules declares 22).	open			97	also in AGENTS.md QWEN.md GEMINI.md (same line numbers); composes with G-pointer-drift-01	Rows: 96 medium + 1 low aggregate. Hand precision of the class on medium rows was 7/10 (rev-docs), so some members are exit-code MEANING lines, not figures; those are closed by the detector item G-stale-figures-06, not by edits.
G-stale-figures-03	CONTINUATION.md section 3 dated session entries carry figures no rule marks as point-in-time	Task	medium	docs-drift	weak-spot	stale-figures	umbrella (vasic)	394	figure:CONTINUATION.md:10029 ; figure:CONTINUATION.md:4316 ; figure:CONTINUATION.md:985	Section 3 (Active work) of CONTINUATION.md is a dated session log; its figures were measured at the time of each entry. The class has no point-in-time rule for dated entries (doc-count-drift has docs/zero-gap/point-in-time.tsv; stale-figures has none), so every such figure reads as unanchored.	Choose ONE mechanism (operator judgement): (a) a tracked line-range/heading point-in-time rule for dated section-3 entries, with a reason per row and its own paired proof (a planted undated figure in a current-state section must still be reported), or (b) move closed session entries to a dated archive file listed as point-in-time. Not (c) ledger rows for 394 historical figures.	RED: 394 figure:CONTINUATION.md:* medium rows located inside section 3 at f05817ba. GREEN: 0 rows inside dated entries AND a planted unanchored figure in section 0/1/4-7 of a disposable copy is still reported (the rule does not blind the class); continuation-check.sh rc 0.	open		operator choice of mechanism (a) or (b); FR-023 forbids a blanket exemption, so the rule needs recorded reasons	394		Section mapping measured on CONTINUATION.md at f05817ba3c7a (section 3 spans lines 475-11122).
G-stale-figures-04	CONTINUATION.md current-state sections (0,1,4-7) record figures with no re-measure command	Task	medium	docs-drift	weak-spot	stale-figures	umbrella (vasic)	24	figure:CONTINUATION.md:11134 ; figure:CONTINUATION.md:167 ; figures:CONTINUATION.md	The resumption prompt, open-gaps, hazards and gate sections state current figures in prose; no claim-ledger row anchors them.	Ledger rows (re-measure command) for figures stated as current, or replace with the command; historical marker for dated ones.	RED: 23 figure:CONTINUATION.md medium rows outside section 3 + the figures:CONTINUATION.md aggregate (475 lines doc-wide). GREEN: 0 rows outside section 3; verify-claim-ledger.sh rc 0; continuation-check.sh rc 0.	open			24		The one low aggregate row counts lines in every section; it is placed here because its location (line 131) is in section 1. It is closed only when both this item and G-stale-figures-03 are closed.
G-stale-figures-05	README.md records gate exit codes (exits 1) with no re-measure command	Task	medium	docs-drift	weak-spot	stale-figures	umbrella (vasic)	6	figure:README.md:373 ; figure:README.md:436 ; figure:README.md:714	The instruments/governance sections of README.md state each gate's current exit code in prose; only 3 ledger rows anchor README.md.	Ledger rows re-running each named gate, or replace the stated rc with the command.	RED: 6 figure:README.md medium rows. GREEN: 0; verify-claim-ledger.sh rc 0 for the new rows.	open			6		
G-stale-figures-06	stale-figures detector: known false negative ("14 declared") and two false-positive families	Task	medium	false-evidence	improvement	stale-figures	umbrella (vasic) scripts/zero-gap-class-stale-figures.sh	0		The figure grammar has no shape for "<n> declared/owned" (rev-base-A: CLAUDE.md:315 says 14 declared while .gitmodules declares 22; reported only as the unanchored 0 DRIFT). FP families (rev-docs, 3/10): a withdrawn figure whose marker is on the next line; exit-code MEANING lines ("0 = clean").	Add the shapes with planted rows; add clean controls for the two FP families; restate the header precision.	RED: planted "14 declared" row not detected by the current class. GREEN: detected; clean controls for both FP families not reported; corpus recall stays 1.0; mutations killed.	open	corpus gains >=3 planted rows (declared/owned shapes) detected and >=2 clean controls not reported; live figure:CLAUDE.md:315 reported for the 14/22 mismatch		0	derived from rev-base-A / rev-docs reviews (no baseline row of its own)	DERIVED item: 0 source rows by design; it does not affect the coverage sum.
G-doc-count-drift-01	workshop module documents record gate/script/line counts that drifted (verify 23 vs 101, prove 27 vs 94, scripts 20 vs 47, 1373 vs 1372 lines)	Bug	high	docs-drift	defect	doc-count-drift	workshop (PRIVATE submodule)	5	workshop/CLAUDE.md:101 ; workshop/CLAUDE.md:167 ; workshop/docs/work-register.md:26	Counts are typed into the four lockstep workshop carriers, workshop/README.md and workshop/docs/work-register.md; nothing re-measures them.	Inside the workshop repository: replace each count with its derive command or add a workshop-side re-measure check; update all four carriers together. Returns to the umbrella as a gitlink bump.	RED: doc-count-drift claim-keys ef910395bdc4, 89ef8918d58a, 5e9ffb182f0f (each also in AGENTS/GEMINI/QWEN), a778950cad60, 465f0143622d reported. GREEN: none reported on the bumped tree; recorded == measured by the class commands (git -C workshop ls-files ..., wc -l).	open		umbrella gitlink bump of workshop (per-bump operator decision) to make the fix visible to the umbrella sweep	5	also in workshop/AGENTS.md workshop/GEMINI.md workshop/QWEN.md (lines 101, 102, 167)	Hand-verified 2026-09-26: 101 / 94 / 47 / 1372 measured. Paths and counts only (private module).
G-doc-count-drift-02	INVENTORY.md section 2/3 phase-1 figures (11,101 lines; 7 nested submodules) read as current but the pin moved	Task	medium	docs-drift	weak-spot	doc-count-drift	umbrella (vasic) docs/constitution-adoption/INVENTORY.md	2	docs/constitution-adoption/INVENTORY.md:137 ; docs/constitution-adoption/INVENTORY.md:81	The document is a historical record plus a current status ledger (its header); the phase-1 figures of sections 2-3 are dated 2026-08-26 but not marked dated at line level, and point-in-time.tsv deliberately excludes the whole file.	Mark the two figures as dated to the 2026-08-26 pin at line level (or re-measure them and cite the command); keep the file out of point-in-time.tsv.	RED: claim-keys f631a00daac8 (recorded 11101, measured 11894) and cb4a3022fb8e (recorded 7, measured 23) reported. GREEN: not reported, and a planted undated count in the same file still is.	open			2		Depends on the line-level dating rule of G-doc-count-drift-03 if option "mark dated" is chosen.
G-doc-count-drift-03	doc-count-drift detector reports dated/commit-anchored task notes and subset counts as drift	Task	low	false-evidence	improvement	doc-count-drift	umbrella (vasic) scripts/zero-gap-class-doc-count-drift.sh	6	docs/zero-gap/module-page-walkthrough.md:91 ; specs/008-unified-workshop-platform/tasks.md:3607 ; specs/008-unified-workshop-platform/tasks.md:3608	Point-in-time is whole-document only (point-in-time.tsv). specs/008 tasks.md is a live task list whose notes carry "Measured 2026-09-03" or a commit id on the claim line (5 rows, true when written per rev-docs; truth at that date UNCONFIRMED here). module-page-walkthrough.md:91 "8 submodules" counts a subset (V-G8 roster gaps), not the total the rule compares with.	Line-level dating: a claim line carrying "Measured <date>" or a commit anchor is point-in-time; a count qualified by a subset phrase is not compared with the total. Each with planted rows and clean controls.	RED: the 6 rows are reported now. GREEN: not reported; undated planted drift still reported; corpus recall 1.0; mutations killed.	open	the 6 member claim-keys are no longer reported AND the planted corpus keeps 14/14 detected plus >=2 new clean controls		6		These 6 rows are false positives for the documents; they are kept as evidence of this detector item rather than dropped.
G-doc-count-drift-04	Umbrella docs/** carry unmeasurable recorded counts (47 documents)	Task	low	docs-drift	weak-spot	doc-count-drift	umbrella (vasic) docs/**	47	figures:docs/BADGES.md ; figures:docs/setup-agents-wizard/ARCHITECTURE.md ; figures:docs/zero-gap/module-page-walkthrough.md	Counts whose subject no rule of the class noun-to-measure table resolves ("recorded, not drift"): nothing re-measures them. Many sit in dated session reports, plans and evidence files that were true when written.	Per document: (a) a docs/zero-gap/point-in-time.tsv row with the reason from the document header when it is dated; (b) a noun-to-measure rule when the subject is measurable in the tree; (c) otherwise replace the count with its derive command. Fix in the repository that owns the document.	RED: 47 figures:docs/** low aggregates. GREEN: 0 aggregates for docs/** (each document either listed with a reason, measured by a rule, or rewritten); point-in-time.tsv rows each name header evidence.	open			47		Largest contributors: docs/setup-agents-wizard (15), docs/constitution-adoption (10).
