# constitution-gate-ledger.tsv — the expected-gate baseline for
# scripts/verify-all-constitution-rules.sh (§11.4.32).
#
# GENERATED, never hand-written. Regenerate deliberately with:
#     bash scripts/verify-all-constitution-rules.sh --update-ledger
# and review the resulting git diff: that diff IS the record that a
# population change was intended. A gate that disappears without one is
# a DROP, and the sweep fails on it.
#
# TAB-separated. Field 1 is the row type, from a closed vocabulary:
#     pin    <constitution HEAD sha, or 'unknown' if not a git work tree>
#     gate   <path relative to submodules/constitution/scripts/gates/>
# An unrecognised field-1 token is a MALFORMED ledger and is reported as
# could-not-determine — never as a pass.
#
# The pin is recorded because the gate population is a function of it:
# at an UNCHANGED pin a missing gate vanished; at a CHANGED pin git is
# asked whether the missing path is still tracked, which separates an
# upstream removal from a local deletion.
pin	3be10826f3d236edcdb62b7cba81cda4e6d0d47a
gate	cm_anchor_detects_tail_truncation_mutation_test.sh
gate	cm_anchor_detects_tail_truncation.sh
gate	cm_anchor_record_complete_mutation_test.sh
gate	cm_anchor_record_complete.sh
gate	cm_badge_closed_color_vocabulary_mutation_test.sh
gate	cm_badge_closed_color_vocabulary.sh
gate	cm_badge_machine_derived_source_mutation_test.sh
gate	cm_badge_machine_derived_source.sh
gate	cm_badge_self_validated_mutation_test.sh
gate	cm_badge_self_validated.sh
gate	cm_build_on_source_proven_not_test_side_mutation_test.sh
gate	cm_build_on_source_proven_not_test_side.sh
gate	cm_canonical_root_clarity_mutation_test.sh
gate	cm_canonical_root_clarity.sh
gate	cm_chain_entry_union_rule_mutation_test.sh
gate	cm_chain_entry_union_rule.sh
gate	cm_chain_integrity_detects_alteration_mutation_test.sh
gate	cm_chain_integrity_detects_alteration.sh
gate	cm_cli_agent_plugins_wired_mutation_test.sh
gate	cm_cli_agent_plugins_wired.sh
gate	cm_continuum_resume_engine_present_mutation_test.sh
gate	cm_continuum_resume_engine_present.sh
gate	cm_control_needle_required_mutation_test.sh
gate	cm_control_needle_required.sh
gate	cm_covenant_114_162_propagation_mutation_test.sh
gate	cm_covenant_114_162_propagation.sh
gate	cm_covenant_114_167_propagation_mutation_test.sh
gate	cm_covenant_114_167_propagation.sh
gate	cm_covenant_114_176_propagation_mutation_test.sh
gate	cm_covenant_114_176_propagation.sh
gate	cm_covenant_114_187_propagation_mutation_test.sh
gate	cm_covenant_114_187_propagation.sh
gate	cm_covenant_114_190_propagation_mutation_test.sh
gate	cm_covenant_114_190_propagation.sh
gate	cm_covenant_114_191_propagation_mutation_test.sh
gate	cm_covenant_114_191_propagation.sh
gate	cm_covenant_114_192_propagation_mutation_test.sh
