# sweep-classes.tsv — the sweep's class list (feature 010, T017). DATA, read by scripts/zero-gap-sweep.sh.
# One row per class. Schema and rules: docs/zero-gap/README.md. Every field is required; tabs separate fields.
#   entrypoint MUST be scripts/zero-gap-class-<class_id>.sh and corpus MUST be _tests/fixtures/zero-gap/<class_id>/;
#   recall is the last PUBLISHED figure (UNKNOWN until published) and is never read as a measurement — the runner
#   recomputes it from the corpus on every run and reports a disagreement as RECALL-MISMATCH;
#   population_kind is source | process | wire (FR-014/FR-017). A class whose entrypoint is absent is reported
#   COULD-NOT-INSPECT "class not implemented" on every run, never skipped and never clean.
class_id	population	population_why	window	entrypoint	corpus	recall	population_kind
stale-figures	every recorded figure (a count, a PASS/FAIL/CURRENT/DRIFT split, N of M, N/M, a byte/line/anchor count, an exit/rc N; a hex id is not a figure) stated in the four root carriers CLAUDE.md AGENTS.md QWEN.md GEMINI.md, CONTINUATION.md and README.md, every line a docs/claim-ledger.tsv anchor matches, plus every row of docs/claim-ledger.tsv; docs/**/*.md belongs to doc-count-drift; LOW unledgered figures are one aggregate per document (figures:<doc>)	these are the documents a reader takes measured facts from; the claim ledger re-measures only a hand-picked slice of 10 claims and reports --completeness as unmet (research D8), so a figure outside that slice can go stale with every gate green; the set is enumerated from the files, never from a hand list of claims	none	scripts/zero-gap-class-stale-figures.sh	_tests/fixtures/zero-gap/stale-figures/	UNKNOWN	source
vacuous-gates	every entry point named by a check or debt row of scripts/check-registry.tsv plus every gate invoked by scripts/pre-push-gates.sh; a pre-push gate that runs no single shell file (go test, Playwright) is the item scripts/pre-push-gates.sh:gate_N and is could-not-inspect	these are exactly the instruments whose PASS is quoted as evidence; a gate that exits 0 on an empty population or after running zero cases manufactures that evidence (constitution: a gate's population is part of its claim), and no other set of scripts is quoted as a verdict	none	scripts/zero-gap-class-vacuous-gates.sh	_tests/fixtures/zero-gap/vacuous-gates/	UNKNOWN	process
unproven-checks	every check and debt row of scripts/check-registry.tsv PLUS every *.sh listed by `git ls-files` (umbrella and every gitlink that is neither third-party per the shared classification nor the governance source supplying scripts/gates/lib/pointer_carrier.sh) that R5's scan does NOT cover — any *.sh outside the declared scanroots or below their one-level (maxdepth 1) boundary	SC-012 is quantified over every check, but R5 of scripts/verify-check-registry.sh only sweeps declared scanroots one level deep (the registry header itself lists *.sh outside that boundary), so a check can exist without a registry row and without a paired proof; the population is therefore the registry rows plus the tracked scripts R5 cannot see	none	scripts/zero-gap-class-unproven-checks.sh	_tests/fixtures/zero-gap/unproven-checks/	UNKNOWN	source
pointer-drift	every gitlink in .gitmodules crossed with every remote configured in that checkout (not only origin), the helix-deps.yaml deps[].ref entries, and the pin SHAs quoted in the four root carriers	a pin can drift in four places (index, manifest, carrier text, any mirror); verify-submodule-remote-sync.sh asks origin only and is blind to a mirror (carrier: design-toolkit GitLab lag went unseen), so the population must be every configured remote of every gitlink	none	scripts/zero-gap-class-pointer-drift.sh	_tests/fixtures/zero-gap/pointer-drift/	UNKNOWN	wire
content-boundary-rows	the sentinel token gate:scripts/verify-content-boundary.sh (the gate result itself, so a result with zero surviving rows is an inspected clean item) plus one PUBLIC PATH CLASS per group of surviving rows of scripts/verify-content-boundary.sh --json at its default parameters — the public repository's fleet path (the umbrella . adds no prefix) plus at most two leading directory segments of the file — each FINDING located at <path class>:<gate class>; 'on the swept tree' means the rows come from the cached result .remember/logs/zero-gap/content-boundary-rows.{json,corpus} and are used only after its manifest is recomputed and proven equal to the tree now; the fleet is the cached one, cross-checked against .gitmodules, helix-deps.yaml and the umbrella .	the gate's surviving rows ARE the unjudged population the operator must read; registering them by count and path class (never allow-listing) is the only way the register can hold them without copying private text, and the gate itself enumerates both sides of the boundary from .gitmodules	none	scripts/zero-gap-class-content-boundary-rows.sh	_tests/fixtures/zero-gap/content-boundary-rows/	UNKNOWN	source
live-vs-source	every service DEFINED in the tracked service definitions — the services of workshop/platform/compose.yml and every service scripts/qa-up.sh boots — crossed with what `podman ps` shows running; each running build id (workshop /api/health) or binary stamp is compared with the HEAD of the source it is built from	users are served by the running binary, not by the source; the set of services is derived from the tracked definitions that start them (compose file and the QA boot script) and from the runtime's own list, so a service added to either is covered without editing the class, and a defined service that is not running is reported COULD-NOT-INSPECT (rc 2, never a finding, never clean)	state at sweep time: the running build vs the checked-out HEAD	scripts/zero-gap-class-live-vs-source.sh	_tests/fixtures/zero-gap/live-vs-source/	UNKNOWN	wire
build-if-missing	every tracked basename start*.sh / restart*.sh at any depth in the umbrella and every checked-out submodule, plus any tracked *.sh/*.bash that builds behind an existence test; minus _tests/fixtures/zero-gap/, the third-party trees of helix-deps.yaml's `<path> -> <url>` comment block, and .specify/	a start path that builds only when the binary is ABSENT serves a stale binary after every source change; the population is defined by file-name shape and by the guarded-build idiom, both found with `git ls-files` and a text scan, so a new start script is covered without editing the class	none	scripts/zero-gap-class-build-if-missing.sh	_tests/fixtures/zero-gap/build-if-missing/	UNKNOWN	source
missing-toolchain	every row of the tracked catalogue docs/zero-gap/toolchains.tsv (tool, probe, the gate that needs it, remedy, source, container_route), probed on the probe PATH (recorded on stderr); a tool is reported only when absent AND its container route is `none` or structurally unusable; plus derived:<tool> for each tool a verify/prove/registered script probes with no catalogue row (high only when followed by exit 2 / return 2 / an undet call, else low), excluding scripts/zero-gap-class-*.sh and _tests/fixtures/zero-gap/; plus a docs-drift check of CLAUDE.md/CONTINUATION.md	the tools whose absence makes a gate exit 2 are recorded, each with the tracked document that states the dependency, in one catalogue file; the class derives its population from that file (a data change adds a tool) and every absent tool with no usable container route becomes an Operator-blocked item with its catalogued remedy	none	scripts/zero-gap-class-missing-toolchain.sh	_tests/fixtures/zero-gap/missing-toolchain/	UNKNOWN	process
unregistered-scripts	every *.sh tracked in the UMBRELLA (git ls-files, every depth, including below the maxdepth-1 boundary of the declared scanroots), minus _tests/fixtures/zero-gap/ and the shared third-party classification (helix-deps.yaml third-party block + .specify/extensions mirrors, covenant_propagation_exclusions.tsv vendored-third-party/generated-code rows, .specify/scripts/bash); owned submodules are NOT enumerated (none carries a registry, ~1,900 tracked *.sh), unproven-checks covers them	R5 of scripts/verify-check-registry.sh sweeps only declared scanroots one level deep at the umbrella root; the registry header itself lists *.sh outside that boundary, so the anti-drift half must be applied to every owned tree to be complete	none	scripts/zero-gap-class-unregistered-scripts.sh	_tests/fixtures/zero-gap/unregistered-scripts/	UNKNOWN	source
unsealed-evidence	every gate run by scripts/pre-push-gates.sh and every check row of scripts/check-registry.tsv, matched against the sealed records of the evidence chain	FR-014 requires every PASS to carry a sealed machine-created record; the gates and checks are the complete set of producers of PASS verdicts, so a producer with no sealed record is an unsealed claim	none	scripts/zero-gap-class-unsealed-evidence.sh	_tests/fixtures/zero-gap/unsealed-evidence/	UNKNOWN	source
