item_id	location	verdict	how
DROPPED	decision:specs/010-zero-gap-verified-closure/progress.yml:68	PASS (drop confirmed)	line 68 of progress.yml at f05817ba is the rev-register class-review log entry, not an operator decision
DROPPED	decision:specs/010-zero-gap-verified-closure/progress.yml:77	PASS (drop confirmed)	line 77 of progress.yml at f05817ba is the register class fix-round report, not an operator decision
G-doc-count-drift-01	workshop/CLAUDE.md:101	PASS	workshop/CLAUDE.md:101 records 23 verify-*.sh; git -C workshop ls-files platform/gates/verify-*.sh (direct entries) = 101; AGENTS/QWEN/GEMINI copies share the line
G-doc-count-drift-01	workshop/CLAUDE.md:167	PASS	workshop/CLAUDE.md:167 records 20 *.sh; git -C workshop ls-files scripts/*.sh (direct entries) = 47
G-doc-count-drift-01	workshop/docs/work-register.md:26	PASS	records 1,373 lines; wc -l of workshop/docs/knowledge-model-contract.md = 1372
G-doc-count-drift-02	docs/constitution-adoption/INVENTORY.md:137	PASS	records 7 submodules; submodules/constitution/.gitmodules path entries = 23
G-doc-count-drift-02	docs/constitution-adoption/INVENTORY.md:81	PASS	records 11,101 lines; wc -l submodules/constitution/Constitution.md = 11894
G-doc-count-drift-03	docs/zero-gap/module-page-walkthrough.md:91	PASS (false positive confirmed)	"8 submodules" counts the V-G8 roster gaps (a subset), not the .gitmodules total the class compares with
G-doc-count-drift-03	specs/008-unified-workshop-platform/tasks.md:3607	PASS (dated confirmed)	the task note on this line carries "Measured 2026-09-03": a dated measurement
G-doc-count-drift-03	specs/008-unified-workshop-platform/tasks.md:3608	PASS (dated confirmed)	the task note on this line carries "Measured 2026-09-03": a dated measurement
G-doc-count-drift-04	figures:docs/BADGES.md	PASS	document docs/BADGES.md exists (umbrella@f05817ba) and its first listed line 84 carries a number
G-doc-count-drift-04	figures:docs/setup-agents-wizard/ARCHITECTURE.md	PASS	document docs/setup-agents-wizard/ARCHITECTURE.md exists (umbrella@f05817ba) and its first listed line 429 carries a number
G-doc-count-drift-04	figures:docs/zero-gap/module-page-walkthrough.md	PASS	document docs/zero-gap/module-page-walkthrough.md exists (umbrella@f05817ba) and its first listed line 84 carries a number
