id	title	severity	category	kind	type_D3	module	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	classification_owner	plan_due_or_recheck	measurable_target	blocked_on	composes_with	source_rows	hand_verified
G-build-if-missing-01	ai_interviewing start and ingest scripts build the server only when the binary is absent: a restart runs a stale binary	high	build-freshness	defect	Bug	ai_interviewing (private, owned)	2	ai_interviewing/platform/scripts/start.sh:17 (class: high); ai_interviewing/platform/scripts/ingest.sh:4 (class: medium)	both scripts guard the build with an existence test of the binary and no freshness test, so a source change after the first build is never compiled; build.sh:5 is a plain go build with no identity stamp. Precedent recorded in helix-deps.yaml (2026-09-17 entry): the deployed aicur was 9 days stale and lacked the auth middleware its source had	port the workshop's build-freshness guard (workshop commit 185fb15, 'build-freshness guard (rebuild trap)') into ai_interviewing: rebuild when the binary's embedded source identity differs from HEAD or any tracked backend source is newer, or always run go build (incremental, cached); one shared helper used by start.sh and ingest.sh; commit inside ai_interviewing, return as a gitlink bump	RED: in a disposable clone of ai_interviewing, build, commit a one-line backend change, run start.sh: the binary sha256 is unchanged and zero-gap-class-build-if-missing reports start.sh:17 and ingest.sh:4. GREEN: same sequence after the fix: binary sha256 changes and the class reports neither location; 5 identical class runs on the fixed tree	open	ai_interviewing repository (agent fix) + operator (gitlink bump)	plan_due 2026-10-03		umbrella gitlink bump of ai_interviewing (per CLAUDE.md a non-constitution gitlink bump is an operator decision)	G-live-vs-source-02	2	2/2 lines read (existence-test-then-build shape confirmed, content not quoted); live class re-run 2026-09-26 reports both locations
G-build-if-missing-02	umbrella Go helper binaries (workable-items, site-build) are built only when absent: gates and deploy can run a stale tool	medium	build-freshness	defect	Bug	umbrella (vasic)	3	scripts/verify-workable-items.sh:128; scripts/verify-workable-items.sh:185; _tools/deploy-langs.sh:665	shared pattern `if [ ! -x BIN ]` then build (at :185 the build sits inside the if condition); no freshness guard, so verify-workable-items G4/G5 and its proof read the register through whatever workable-items binary exists, and deploy-langs runs whatever site-build exists	one umbrella helper (for example scripts/lib) that always runs go build -o BIN (Go's build cache keeps it cheap) or rebuilds when go list -deps sources are newer than BIN; call it from the three sites	RED: in a disposable copy, build the tool, change a user-visible string in _tools/workable-items, run verify-workable-items.sh: output still carries the old string and the class reports :128/:185; same for site-build via deploy-langs --dry-run. GREEN: after the fix the new string appears and the class reports none of the 3 locations; 5 identical runs	open	umbrella (agent)	plan_due 2026-10-03			G-build-if-missing-03	3	3/3 lines read; shapes confirmed; live class re-run reports the same 3 locations
G-build-if-missing-03	export self-validation builds its golden PDF fixtures only when absent: a changed fixture recipe is never exercised	low	build-freshness	defect	Bug	umbrella (vasic) _tests/export	1	_tests/export/self-validate.sh:30	golden-good.pdf / golden-bad.pdf are rebuilt only when either file is missing; an edit to build-fixtures.sh leaves the old fixtures in place, so the harness validates the previous recipe	rebuild fixtures when build-fixtures.sh (or its inputs) is newer than either PDF, or always rebuild into the run's $OUT	RED: disposable copy, edit build-fixtures.sh to change fixture content, run self-validate.sh: fixture sha256 unchanged and the class reports :30. GREEN: fixture sha256 follows the recipe; class clean for :30	open	umbrella (agent)	plan_due 2026-10-10			G-build-if-missing-02	1	1/1 line read; shape confirmed
G-build-if-missing-04	LLMsVerifier scripts build their binaries only when absent (generator + provider challenge)	medium	build-freshness	defect	Bug	submodules/llms_verifier (vasic-digital/LLMsVerifier, public, owned)	2	submodules/llms_verifier/scripts/generate-ultimate-opencode.sh:13 (class: medium); submodules/llms_verifier/llm-verifier/challenges/scripts/run_all_providers_challenge.sh:79 (class: low)	`if [ ! -f/-x BIN ]` then go build, no freshness guard; the challenge harness then scores providers with a stale binary	fix in vasic-digital/LLMsVerifier (always go build, or freshness test), return as a gitlink bump	RED/GREEN in a disposable clone of LLMsVerifier as for -02; class reports neither location after the bump	open	vasic-digital/LLMsVerifier (agent fix) + operator (gitlink bump)	plan_due 2026-10-10		umbrella gitlink bump of submodules/llms_verifier (operator decision)		2	2/2 lines read; shapes confirmed; repo visibility public (gh api)
G-missing-toolchain-01	toolchain catalogue lacks rows for four optional or fallback tools (docs_chain, ifconfig, lumen, shellcheck)	low	governance-drift	improvement	Task	umbrella (vasic) docs/zero-gap/toolchains.tsv	4	scripts/verify-docs-chain.sh:141 (docs_chain); scripts/ollama-tune.sh:424 (ifconfig); scripts/test-setup-agents-wizard.sh:666 (lumen)	docs/zero-gap/toolchains.tsv has no row for these tools, so the class cannot tell whether their absence matters. Hand-read: docs_chain falls back to a built binary in the constitution submodule; ifconfig is the fallback after ip; shellcheck gates an optional check (:511); lumen absence records a FAIL at :666 (not rc 2) — see judgement call J4	add one catalogue row per tool with its role (optional / fallback / required) and container_route none, or record in the catalogue why it is optional; decide separately whether :666 reports rc 2 instead of FAIL	RED: live class rc 1 with the 4 `catalogue missing derived tool` findings (captured 2026-09-26, probe PATH sha256 109a5efb81e1). GREEN: same PATH sha, class reports 0 of the 4; re-run under env -i PATH=/usr/local/bin:/usr/bin:/bin	open	umbrella (agent)	plan_due 2026-10-10	zero-gap-class-missing-toolchain.sh reports 0 `catalogue missing derived tool` findings for docs_chain, ifconfig, lumen and shellcheck under probe PATH sha256 109a5efb81e1 and under env -i PATH=/usr/local/bin:/usr/bin:/bin			4	4/4 probe lines read; command -v returns nothing for all 4 in this shell; live class re-run reports the same 4
G-live-vs-source-01	workshop platform serves build 185fb15 while workshop HEAD is e076fa6: the stack was not redeployed after the last commit	medium	build-freshness	defect	Bug	workshop platform (running service, container workshop-curriculum_platform_1)	2	service:qa-up/workshop:commit (class: high); service:compose/workshop-curriculum/platform:started (class: medium)	container 42c12e533a91 started 2026-09-25T09:06:32Z serving source_commit 185fb158c4f4; e076fa6 was committed 10:18:12Z and nothing redeployed; scripts/qa-up.sh reuses a running stack without restarting it (header line 32). Measured: git diff --name-only 185fb158c4f4 e076fa6aa26f lists 3 *_test.go files only, so the production source is equal (identical binary output UNCONFIRMED)	OPERATOR: redeploy the workshop stack from the committed tree (bash workshop/scripts/restart.sh, answering stays OFF by default). AGENT (follow-up): qa-up warns or refuses when it adopts a stack whose /api/health source_commit differs from workshop HEAD	RED: zero-gap-sweep.sh --class live-vs-source on the live tree reports both items (captured 2026-09-26, rc 1). GREEN: after redeploy /api/health source_commit equals git -C workshop rev-parse HEAD, container start time is after the HEAD commit time, and the class reports neither item; 5 identical runs	classified: operator-action (redeploy of a running service is operator-owned)	operator	recheck 2026-10-03		operator options: redeploy now (cost: one restart of the workshop stack, answering stays OFF) or leave running (cost: served identity stays unequal to HEAD and the class stays red)		2	live class re-run 2026-09-26 reproduces both; podman ps shows 42c12e533a91 Up 27 hours; workshop HEAD e076fa6aa26f equals the umbrella gitlink; diff 185fb15..e076fa6 = 3 test files
G-live-vs-source-02	ai_interviewing's running build carries no source identity: the served binary cannot be tied to its source	medium	false-evidence	defect	Bug	ai_interviewing (private, owned; running service qa-up/ai)	1	service:qa-up/ai:stamp	ai_interviewing/platform/scripts/build.sh:5 is a plain go build with no identity stamp and the backend exposes no source_commit (0 Go files mention it, vs workshop's cmd/workshop-server/build_identity.go); the embedded vcs.revision 923779e06397 is an umbrella commit (git cat-file: commit in the umbrella, not an object in ai_interviewing). Why Go stamped the enclosing repository's revision: UNCONFIRMED	port the workshop's build identity (ldflags stamp of the ai_interviewing commit and dirty flag, /api/health source_commit + source_dirty) into ai_interviewing; build with vcs stamping bound to the submodule; gitlink bump	RED: live class reports service:qa-up/ai:stamp (captured 2026-09-26). GREEN: after rebuild /api/health source_commit equals git -C ai_interviewing rev-parse HEAD and the class reports no :stamp/:commit finding for ai	open	ai_interviewing repository (agent fix) + operator (gitlink bump, restart)	plan_due 2026-10-03		gitlink bump of ai_interviewing and a restart of the ai service (operator)	G-build-if-missing-01	1	live class re-run reproduces it; grep source_commit in ai backend = 0 files; 923779e resolves in the umbrella only; aicur mtime 2026-09-25 12:36:23 (after ai HEAD a34e364 12:21:46)
G-private-in-public-01	unmeasured probability in the doc-count-drift population rationale (sweep-classes.tsv:21)	low	docs-drift	defect	Bug	umbrella (vasic) docs/zero-gap/sweep-classes.tsv	1	docs/zero-gap/sweep-classes.tsv:21	the rationale column asserts which claims are least prone to drift without a measurement (§11.4.6 guessing term); wording only, no effect on any class result	replace the clause with a measured statement (for example the count of ledger-anchored claims and their measured drift) or mark it UNCONFIRMED	RED: zero-gap-class-private-in-public reports sweep-classes.tsv:21 (live 2026-09-26). GREEN: the class reports no finding at that location and the row still parses (sweep-classes.tsv column count unchanged)	open	umbrella (agent)	plan_due 2026-10-10				1	line read; the term sits in the rationale column, outside quotes
G-private-in-public-02	private-in-public guessing detector: live precision 1/8 (normative rules, vocabulary mentions, sweep reports re-reporting other findings)	medium	false-evidence	improvement	Task	umbrella (vasic) scripts/zero-gap-class-private-in-public.sh	7	specs/010-zero-gap-verified-closure/progress.yml:43 (normative); specs/010-zero-gap-verified-closure/progress.yml:86 (vocabulary mention); specs/010-zero-gap-verified-closure/baseline/sweep-2026-09-26/report.txt (self-reference)	the detector is line-level and not semantic: a normative modal rule line, a review line naming the forbidden vocabulary unquoted, and a sweep report that copies another class's description are all reported as causal guesses; the class reads progress.yml and its own baseline, so its count moves whenever the ledger grows (7 in the baseline, 8 live)	exempt (a) lines whose term is the object of a rule about the vocabulary (quoted or listed), (b) the sweep's own report files (a finding description is not a statement of cause), and (c) normative modal use in rule/contract lines, each with planted clean controls; keep the 9 planted guessing rows detected	RED: live class rc 1 with these 7 locations (captured). GREEN: live class reports none of the 7 shapes, planted corpus detection unchanged (9/9 guessing, 4/4 credential), mutation that removes each exemption turns its clean control red	open	umbrella (agent)	plan_due 2026-10-10	live-tree run reports 0 of the 7 member locations (and 0 rows from the sweep's own report files) while planted-corpus detection stays 9/9 guessing and 4/4 credential shapes		G-private-in-public-04	6 baseline + 1 live-only (progress.yml:95)	progress.yml:43, :72, :86, :95 read (normative/vocabulary); live run 2026-09-26 shows the 3 self-reference rows moved to report.txt:289, report.json:292, FINDINGS-BY-CLASS.tsv:476 of the re-baselined files
G-private-in-public-03	two predefined-user passwords stated literally in the public spec 007 (15 lines, 5 files), pushed to the public remote	critical	security	defect	Bug	umbrella (vasic, public) specs/007-decouple-modules-auth; same values in workshop and ai_interviewing tests (private)	15	specs/007-decouple-modules-auth/spec.md:184 (the one line the class detects); specs/007-decouple-modules-auth/quickstart.md:178; specs/007-decouple-modules-auth/plan.md:408	a requirement line (FR-009) and its quickstart/plan/tasks/data-model copies state the two accounts' passwords in plain text; first committed ed9a34a (2026-09-12); present on github/origin/upstream main; repository visibility public (gh api). The same two values occur in 13 tracked ai_interviewing files and 15 tracked workshop files (git grep -l, values never printed). Whether they are the live credentials of the running platforms: UNCONFIRMED (no login was attempted)	OPERATOR DECISION: rotate both accounts' passwords on every platform that accepts them (history cannot be rewritten, §11.4.113, so rotation is the only remedy for the published value); then AGENT: replace the literals in spec 007 with a reference to the seeded-credential source (env / untracked secret file), and move test fixtures to generated or env-provided values	RED: git grep -c -F (values from a 0600 temp file, never echoed) finds 15 lines in the umbrella; a login with the published pair succeeds (operator-run, only if rotation is chosen). GREEN: 0 lines in the umbrella working tree, 0 in the two private repos' tracked tests, and a login with the published pair is refused	classified: operator-decision (credential rotation on running services + handling of a public-history disclosure)	operator	recheck 2026-10-01		operator options: rotate both passwords everywhere they are accepted (cost: re-seed accounts, update private test fixtures) or keep them (cost: a published credential stays valid if live); either way redact the working tree and record an incident note	G-private-in-public-04	0 (outside the class population; found by this session's --corpus run of the class over specs/002-009)	spec.md:184 read; 15 lines located by count only; see SUMMARY note on one unmasked display in this session's tool output
