id	title	severity	category	kind	type	sweep_class	module_repository	location_count	sample_locations	root_cause	proposed_fix	proposed_verification	disposition_proposal	measurable_target	blocked_on	closing_task	source_rows	hand_verified
G-guard-gaps-01	PreToolUse guard: host-power rule misses bare reboot/halt/poweroff binaries	high	security	defect	Bug	guard-gaps	submodules/constitution (upstream)	3	guarded:host-halt | guarded:host-poweroff | guarded:host-reboot	the guard's host-power gate matches only `systemctl|loginctl <verb>`, `pm-*` and `shutdown`; the bare binaries reboot, halt and poweroff match no pattern, so the rule declared no-override lets them through	upstream: add bare-binary alternatives (reboot|halt|poweroff, incl. absolute-path and command-substitution forms) to the host-power block with RED fixtures; project side: G-guard-gaps-07 mitigation	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	3	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-02	PreToolUse guard: no rule for ref and history destruction (branch -D, update-ref -d, filter-branch, push --delete, push :ref)	high	security	defect	Bug	guard-gaps	submodules/constitution (upstream)	5	guarded:branch-delete | guarded:history-rewrite | guarded:ref-delete	the guard's git-push rule keys on --force/--force-with-lease/+refspec only and there is no rule for local ref deletion; the FORCE_MSG text names 'history rewrite' but no pattern implements it	upstream: extend the push rule to --delete/-d and `:<ref>` refspecs; add a ref-destruction rule (branch -D/--delete --force, update-ref -d) and a history-rewrite rule (filter-branch, filter-repo); RED fixtures per form	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	5	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-03	PreToolUse guard: no rule for uncommitted-work discard on a shared tree (reset --hard, checkout ., restore ., clean -fd/-fdx, stash)	high	security	danger-zone	Bug	guard-gaps	submodules/constitution (upstream)	7	guarded:checkout-discard | guarded:checkout-dot | guarded:clean-force-dirs	the guard has no working-tree-discard class; the project's own .specify/memory/constitution.md 'Shared-Tree Discipline Is Wider Than stash' names these as destructive on a shared tree, but nothing enforces it at tool-call time	upstream: add a shared-tree discard rule (reset --hard, checkout [--] ., restore ., clean -f*, stash with no pathspec); RED fixtures; decide override policy (allow-marker or none)	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	7	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-04	PreToolUse guard: no rule for bulk staging (git add -A, git add .)	high	security	danger-zone	Bug	guard-gaps	submodules/constitution (upstream)	2	guarded:add-all | guarded:add-dot	no bulk-staging rule exists; on a tree shared by parallel agents bulk staging captures other agents' uncommitted files (closure-wave protocol (f) bans `add -A`)	upstream: add a bulk-staging rule for agent tool calls (add -A/--all/., commit -a); note the operator's `commit` wrapper stages with `git add .` internally and is not a tool-call string, so it is unaffected	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	2	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-05	PreToolUse guard: no rule for signalling processes by name or pattern (pkill -f, killall)	high	security	danger-zone	Bug	guard-gaps	submodules/constitution (upstream)	2	guarded:signal-by-name | guarded:signal-by-pattern	no process-signalling rule exists; §11.4.174 (verify the process is ours) and §11.4.263 (process-group signal safety) forbid name/pattern kills, and a reviewer's `pkill -f` already killed its own shell once (progress.yml process-slip ruling)	upstream: add a name/pattern signalling rule (pkill, killall, kill -<sig> -<pgid>); RED fixtures incl. `pkill -f` with -u	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	2	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-06	PreToolUse guard: no rule for recursive removal of / or ~	high	security	danger-zone	Bug	guard-gaps	submodules/constitution (upstream)	2	guarded:remove-home | guarded:remove-root	no bulk-removal rule exists; §9 names bulk file removal as a pre-op-backup operation, yet `rm -rf /` and `rm -rf ~` exit 0 from the guard	upstream: add a recursive-removal rule for /, ~, $HOME and bare top-level targets (with --no-preserve-root forms); RED fixtures; keep scoped build-dir removals allowed (benign control rm -rf ~/Projects/x/build)	RED (captured 2026-09-26, this dry run): the member rows of docs/zero-gap/guarded-commands.tsv piped as DATA to the wired guard exit 0; GREEN (after upstream fix + pin bump): `scripts/zero-gap-sweep.sh --class guard-gaps` reports 0 findings for these ids (each rc 2) while the 5 already-refused rows stay rc 2 and the benign corpus controls stay rc 0; bash scripts/verify-pretooluse-guard.sh stays rc 0	classified: third-party: upstream governance source; report route = issue/PR against HelixDevelopment/HelixConstitution for scripts/hooks/guard-forbidden-commands.sh; owner = constitution maintainer (operator); recheck = next constitution pin bump or +30 days, whichever first	-	upstream fix + operator-authorised constitution fast-forward	T043 (report) / pin bump	2	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-guard-gaps-07	Project-level PreToolUse mitigation enforcing docs/zero-gap/guarded-commands.tsv until the upstream guard catches up	high	security	improvement	Task	guard-gaps	umbrella (.claude/settings.json + a new project hook script)	0	-	the only PreToolUse hook is the upstream constitution guard (tracked .claude/settings.json, matcher *), so every upstream gap (G-guard-gaps-01..06) is open on this project until a pin bump; the catalogue that names the gaps already exists as tracked data	write a project hook (e.g. scripts/hooks/guard-project-catalogue.sh) that refuses (rc 2) any tool-call command matching a `refused` catalogue row's candidate ERE on the quote-scrubbed command, with --prove-failure and benign controls; register it; wire it as a SECOND PreToolUse hook entry (after the upstream one) — the settings.json edit is an operator decision	RED: with only the upstream hook wired, the 21 catalogue ids exit 0 (captured this run); GREEN: the guard-gaps class pointed at the wired hook chain reports 0 findings for all 26 rows, 0 of 8 benign controls refused, bash scripts/verify-pretooluse-guard.sh rc 0, and the new hook's --prove-failure catches a neutered hook (edited to exit 0) and an unwired settings file	open (implementation + proof can proceed; wiring step Operator-blocked: operator-decision)	all 21 currently-allowed catalogue commands refused (rc 2) by the wired hook chain AND 0 false refusals over the 8 benign controls AND hook latency p95 under 100 ms over 200 probes	operator decision: edit tracked .claude/settings.json to add a second PreToolUse hook (T043 rule)	T043	0	all members re-probed as data on the live tree 2026-09-26 (rc 0; the 5 refused controls rc 2)
G-unproven-checks-01	CONST-033 no-suspend scanner copied into 11 owned submodules with no paired failure proof	medium	test-coverage	weak-spot	Bug	unproven-checks	11 owned submodules (LLMProvider, RAG, challenges, containers, doc_processor, llm_orchestrator, llm_provider, llms_verifier, qa, security, vision_engine)	11	submodules/LLMProvider/scripts/host-power-management/check-no-suspend-calls.sh | submodules/RAG/scripts/host-power-management/check-no-suspend-calls.sh | submodules/challenges/scripts/host-power-management/check-no-suspend-calls.sh	scripts/host-power-management/check-no-suspend-calls.sh was cascaded (e.g. RAG 9900fec, 2026-04-27, 'add CONST-033 host-power-management guard') without a --prove-failure arm or sibling proof; 3 distinct blobs exist across the 11 copies (8ff46739 x7, d4aff5d1 x3, 4e9947e8 x1), so the copies have also diverged	add a paired proof to one canonical copy (plant a systemctl suspend / loginctl / gsettings sleep call in a $TMPDIR copy, expect rc 1; clean control rc 0; unreadable root rc 2), then re-cascade the identical file + proof to all 11 repos and reconcile the 3 blob variants	RED: `scripts/zero-gap-sweep.sh --class unproven-checks` lists the 11 paths (baseline); GREEN: the class reports 0 rows for them after the gitlink bumps, and each copy's --prove-failure exits 0 with the planted-call mutation caught	open (fix lands in each owned submodule repo)	-	one gitlink bump per submodule (operator per-bump decision); 8 of the 11 modules have no roster row yet (T047 / V-G8)	T045	11	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-02	CONST-050(B) anti-bluff challenge family (8 test types) cascaded into 8 owned submodules with no paired failure proofs	medium	test-coverage	weak-spot	Bug	unproven-checks	8 owned submodules (LLMProvider, RAG, llm_provider, llms_verifier, security, doc_processor, llm_orchestrator, vision_engine), 8 scripts each	64	submodules/LLMProvider/challenges/scripts/chaos_failure_injection_challenge.sh | submodules/LLMProvider/challenges/scripts/ddos_health_flood_challenge.sh | submodules/LLMProvider/challenges/scripts/host_no_auto_suspend_challenge.sh	the CONST-050(B) submodule cascade (e.g. RAG e29009b, 2026-05-15) created chaos_failure_injection, ddos_health_flood, host_no_auto_suspend, no_suspend_calls, scaling_horizontal, stress_sustained_load, ui_terminal_interaction and ux_end_to_end_flow challenges per module without a proof-mode arm or sibling proof; 6 of the 8 names differ per module (per-module adaptations), 2 are near-identical	define ONE proof convention for the family (a --prove-failure arm that points the challenge at a deliberately broken stub target and expects rc 1, plus an unreachable-target case expecting rc 2), apply it per module, register the challenges in each module (none carries a check registry)	RED: baseline lists 64 paths; GREEN: the class reports 0 rows for them and each challenge's --prove-failure exits 0 with its stub mutation caught; SC-006 5x repeat identical	open (fix lands in each owned submodule repo)	-	one gitlink bump per submodule (operator per-bump decision); 6 of the 8 modules have no roster row yet (T047 / V-G8); whether every *_challenge.sh really is a gate is UNMEASURED (name-heuristic population)	T045	64	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
G-unproven-checks-03	LLMProvider-lineage shared challenges (apikeys discovery, suspend contract, upstreams recipe origin) have no failure proofs	medium	test-coverage	weak-spot	Bug	unproven-checks	submodules/LLMProvider, submodules/RAG, submodules/llm_provider	6	submodules/LLMProvider/challenges/scripts/apikeys_live_discovery_challenge.sh | submodules/LLMProvider/challenges/scripts/host_no_auto_suspend_contract_challenge.sh | submodules/LLMProvider/challenges/scripts/upstreams_recipe_origin_challenge.sh	three challenges shared between the LLMProvider lineage repos (host_no_auto_suspend_contract and upstreams_recipe_origin byte-identical across LLMProvider/RAG; apikeys_live_discovery in LLMProvider and llm_provider with different blobs) were added without a proof arm	add --prove-failure arms (planted contract break / foreign-origin recipe / fake key source) to each, keep identical copies identical	RED: baseline lists 6 paths; GREEN: 0 class rows for them; each proof catches its planted break	open (fix lands in each owned submodule repo)	-	gitlink bumps (operator per-bump decision); llm_provider has no roster row yet	T045	6	all members re-checked: 0 proof-arm tokens, no sibling proof file naming them
